# Total Phase Data Center(tm) v8.10
# (c) 2005-2026 Total Phase, Inc.
# www.totalphase.com
#
# Wed Apr 01 10:34:36 2026
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data,Summary,ASCII
1,FS,61,0:07.115.247,7.083 us,0 B,,14,00,   OUT txn,,,""
2,FS,62,0:07.115.247,2.083 us,3 B,,14,00,      OUT packet,E1 0E E0,,"..."
2,FS,63,0:07.115.251,2.083 us,3 B,,14,00,      DATA1 packet,4B 00 00,,"K.."
2,FS,64,0:07.115.254,750 ns,1 B,,14,00,      ACK packet,D2,,"."
0,FS,65,0:07.115.826,1.002.250 ms,,,,,[2 SOF],,[Frames: 1114 - 1115] ,""
0,FS,66,0:07.117.281,331.750 us,32 B,,14,00,Get Configuration Descriptor,09 02 20 00 01 01 00 80 2D 09 04 00 00 02 FF FF FF 02 07 05 81 02 40 00 00 07 05 02 02 40 00 00,Index=0 Length=255,".. .....-.............@......@.."
1,FS,67,0:07.117.281,12.416 us,8 B,,14,00,   SETUP txn,80 06 00 02 00 00 FF 00,,"........"
2,FS,68,0:07.117.281,2.083 us,3 B,,14,00,      SETUP packet,2D 0E E0,,"-.."
2,FS,69,0:07.117.284,7.516 us,11 B,,14,00,      DATA0 packet,C3 80 06 00 02 00 00 FF 00 E9 A4,,"..........."
2,FS,70,0:07.117.293,750 ns,1 B,,14,00,      ACK packet,D2,,"."
1,FS,71,0:07.117.302,165.250 us,8 B,,14,00,   IN txn   [10 POLL],09 02 20 00 01 01 00 80,,".. ....."
2,FS,72,0:07.117.302,132.666 us,,,14,00,      [10 IN-NAK],,,""
2,FS,73,0:07.117.455,2.083 us,3 B,,14,00,      IN packet,69 0E E0,,"i.."
2,FS,74,0:07.117.458,7.416 us,11 B,,14,00,      DATA1 packet,4B 09 02 20 00 01 01 00 80 0A A2,,"K.. ......."
2,FS,75,0:07.117.467,750 ns,1 B,,14,00,      ACK packet,D2,,"."
1,FS,76,0:07.117.472,32.583 us,8 B,,14,00,   IN txn   [1 POLL],2D 09 04 00 00 02 FF FF,,"-......."
2,FS,77,0:07.117.472,4.000 us,,,14,00,      [1 IN-NAK],,,""
2,FS,78,0:07.117.492,2.083 us,3 B,,14,00,      IN packet,69 0E E0,,"i.."
2,FS,79,0:07.117.495,7.666 us,11 B,,14,00,      DATA0 packet,C3 2D 09 04 00 00 02 FF FF 44 81,,".-.......D."
2,FS,80,0:07.117.504,750 ns,1 B,,14,00,      ACK packet,D2,,"."
1,FS,81,0:07.117.509,25.250 us,8 B,,14,00,   IN txn   [1 POLL],FF 02 07 05 81 02 40 00,,"......@."
2,FS,82,0:07.117.509,4.083 us,,,14,00,      [1 IN-NAK],,,""
2,FS,83,0:07.117.522,2.083 us,3 B,,14,00,      IN packet,69 0E E0,,"i.."
2,FS,84,0:07.117.525,7.516 us,11 B,,14,00,      DATA1 packet,4B FF 02 07 05 81 02 40 00 A6 BB,,"K......@..."
2,FS,85,0:07.117.533,750 ns,1 B,,14,00,      ACK packet,D2,,"."
1,FS,86,0:07.117.539,25.083 us,8 B,,14,00,   IN txn   [1 POLL],00 07 05 02 02 40 00 00,,".....@.."
2,FS,87,0:07.117.539,4.000 us,,,14,00,      [1 IN-NAK],,,""
2,FS,88,0:07.117.551,2.083 us,3 B,,14,00,      IN packet,69 0E E0,,"i.."
2,FS,89,0:07.117.554,7.416 us,11 B,,14,00,      DATA0 packet,C3 00 07 05 02 02 40 00 00 B0 CD,,"......@...."
2,FS,90,0:07.117.563,750 ns,1 B,,14,00,      ACK packet,D2,,"."
1,FS,91,0:07.117.580,19.833 us,0 B,,14,00,   IN txn   [1 POLL],,,""
2,FS,92,0:07.117.580,4.000 us,,,14,00,      [1 IN-NAK],,,""
2,FS,93,0:07.117.593,2.083 us,3 B,,14,00,      IN packet,69 0E E0,,"i.."
2,FS,94,0:07.117.596,2.083 us,3 B,,14,00,      DATA1 packet,4B 00 00,,"K.."
2,FS,95,0:07.117.599,750 ns,1 B,,14,00,      ACK packet,D2,,"."
1,FS,96,0:07.117.606,7.083 us,0 B,,14,00,   OUT txn,,,""
2,FS,97,0:07.117.606,2.083 us,3 B,,14,00,      OUT packet,E1 0E E0,,"..."
2,FS,98,0:07.117.609,2.083 us,3 B,,14,00,      DATA1 packet,4B 00 00,,"K.."
2,FS,99,0:07.117.612,750 ns,1 B,,14,00,      ACK packet,D2,,"."
0,FS,100,0:07.117.826,2.002.433 ms,,,,,[3 SOF],,[Frames: 1116 - 1118] ,""
0,FS,101,0:07.118.526,1.499.416 ms,18 B,,14,00,Get String Descriptor,12 03 44 00 42 00 30 00 30 00 46 00 43 00 58 00 35 00,Index=3 Length=255,"..D.B.0.0.F.C.X.5."
1,FS,102,0:07.118.526,12.500 us,8 B,,14,00,   SETUP txn,80 06 03 03 09 04 FF 00,,"........"
2,FS,103,0:07.118.526,2.083 us,3 B,,14,00,      SETUP packet,2D 0E E0,,"-.."
2,FS,104,0:07.118.529,7.516 us,11 B,,14,00,      DATA0 packet,C3 80 06 03 03 09 04 FF 00 96 0A,,"..........."
2,FS,105,0:07.118.537,750 ns,1 B,,14,00,      ACK packet,D2,,"."
1,FS,106,0:07.118.547,751.000 us,8 B,,14,00,   IN txn   [48 POLL],12 03 44 00 42 00 30 00,,"..D.B.0."
2,FS,107,0:07.118.547,729.833 us,,,14,00,      [48 IN-NAK],,,""
2,FS,108,0:07.119.285,2.083 us,3 B,,14,00,      IN packet,69 0E E0,,"i.."
2,FS,109,0:07.119.289,7.416 us,11 B,,14,00,      DATA1 packet,4B 12 03 44 00 42 00 30 00 03 1D,,"K..D.B.0..."
2,FS,110,0:07.119.297,750 ns,1 B,,14,00,      ACK packet,D2,,"."
1,FS,111,0:07.119.302,553.500 us,8 B,,14,00,   IN txn   [34 POLL],30 00 46 00 43 00 58 00,,"0.F.C.X."
2,FS,112,0:07.119.302,532.833 us,,,14,00,      [34 IN-NAK],,,""
2,FS,113,0:07.119.843,2.083 us,3 B,,14,00,      IN packet,69 0E E0,,"i.."
2,FS,114,0:07.119.846,7.416 us,11 B,,14,00,      DATA0 packet,C3 30 00 46 00 43 00 58 00 9C 02,,".0.F.C.X..."
2,FS,115,0:07.119.855,750 ns,1 B,,14,00,      ACK packet,D2,,"."
1,FS,116,0:07.119.860,146.166 us,2 B,,14,00,   IN txn   [10 POLL],35 00,,"5."
2,FS,117,0:07.119.860,129.000 us,,,14,00,      [10 IN-NAK],,,""
2,FS,118,0:07.119.998,2.083 us,3 B,,14,00,      IN packet,69 0E E0,,"i.."
2,FS,119,0:07.120.001,3.516 us,5 B,,14,00,      DATA1 packet,4B 35 00 E9 1F,,"K5..."
2,FS,120,0:07.120.005,750 ns,1 B,,14,00,      ACK packet,D2,,"."
1,FS,121,0:07.120.018,7.083 us,0 B,,14,00,   OUT txn,,,""
2,FS,122,0:07.120.018,2.083 us,3 B,,14,00,      OUT packet,E1 0E E0,,"..."
2,FS,123,0:07.120.021,2.083 us,3 B,,14,00,      DATA1 packet,4B 00 00,,"K.."
2,FS,124,0:07.120.024,750 ns,1 B,,14,00,      ACK packet,D2,,"."
0,FS,125,0:07.120.827,2.183 us,,,,,[1 SOF],,[Frame: 1119] ,""
0,FS,126,0:07.121.062,47.000 us,4 B,,14,00,Get String Descriptor,04 03 09 04,Index=0 Length=255,"...."
1,FS,127,0:07.121.062,12.416 us,8 B,,14,00,   SETUP txn,80 06 00 03 00 00 FF 00,,"........"
2,FS,128,0:07.121.062,2.083 us,3 B,,14,00,      SETUP packet,2D 0E E0,,"-.."
2,FS,129,0:07.121.065,7.516 us,11 B,,14,00,      DATA0 packet,C3 80 06 00 03 00 00 FF 00 D4 64,,"..........d"
2,FS,130,0:07.121.074,750 ns,1 B,,14,00,      ACK packet,D2,,"."
1,FS,131,0:07.121.085,9.833 us,4 B,,14,00,   IN txn,04 03 09 04,,"...."
2,FS,132,0:07.121.085,2.083 us,3 B,,14,00,      IN packet,69 0E E0,,"i.."
2,FS,133,0:07.121.088,4.750 us,7 B,,14,00,      DATA1 packet,4B 04 03 09 04 09 78,,"K.....x"
2,FS,134,0:07.121.094,750 ns,1 B,,14,00,      ACK packet,D2,,"."
1,FS,135,0:07.121.102,7.083 us,0 B,,14,00,   OUT txn,,,""
2,FS,136,0:07.121.102,2.083 us,3 B,,14,00,      OUT packet,E1 0E E0,,"..."
2,FS,137,0:07.121.105,2.083 us,3 B,,14,00,      DATA1 packet,4B 00 00,,"K.."
2,FS,138,0:07.121.109,750 ns,1 B,,14,00,      ACK packet,D2,,"."
0,FS,139,0:07.121.827,3.002.500 ms,,,,,[4 SOF],,[Frames: 1120 - 1123] ,""
0,FS,140,0:07.122.156,2.752.833 ms,36 B,,14,00,Get String Descriptor,24 03 46 00 54 00 32 00 33 00 30 00 58 00 20 00 42 00 61 00 73 00 69 00 63 00 20 00 55 00 41 00 52 00 54 00,Index=2 Length=255,"$.F.T.2.3.0.X. .B.a.s.i.c. .U.A.R.T."
1,FS,141,0:07.122.156,12.500 us,8 B,,14,00,   SETUP txn,80 06 02 03 09 04 FF 00,,"........"
2,FS,142,0:07.122.156,2.083 us,3 B,,14,00,      SETUP packet,2D 0E E0,,"-.."
2,FS,143,0:07.122.159,7.516 us,11 B,,14,00,      DATA0 packet,C3 80 06 02 03 09 04 FF 00 97 DB,,"..........."
2,FS,144,0:07.122.168,750 ns,1 B,,14,00,      ACK packet,D2,,"."
1,FS,145,0:07.122.177,749.000 us,8 B,,14,00,   IN txn   [47 POLL],24 03 46 00 54 00 32 00,,"$.F.T.2."
2,FS,146,0:07.122.177,727.916 us,,,14,00,      [47 IN-NAK],,,""
2,FS,147,0:07.122.914,2.083 us,3 B,,14,00,      IN packet,69 0E E0,,"i.."
2,FS,148,0:07.122.917,7.416 us,11 B,,14,00,      DATA1 packet,4B 24 03 46 00 54 00 32 00 84 E9,,"K$.F.T.2..."
2,FS,149,0:07.122.926,750 ns,1 B,,14,00,      ACK packet,D2,,"."
1,FS,150,0:07.122.931,554.583 us,8 B,,14,00,   IN txn   [38 POLL],33 00 30 00 58 00 20 00,,"3.0.X. ."
2,FS,151,0:07.122.931,533.500 us,,,14,00,      [38 IN-NAK],,,""
2,FS,152,0:07.123.473,2.083 us,3 B,,14,00,      IN packet,69 0E E0,,"i.."
2,FS,153,0:07.123.476,7.416 us,11 B,,14,00,      DATA0 packet,C3 33 00 30 00 58 00 20 00 F3 A5,,".3.0.X. ..."
2,FS,154,0:07.123.485,750 ns,1 B,,14,00,      ACK packet,D2,,"."
1,FS,155,0:07.123.490,554.500 us,8 B,,14,00,   IN txn   [35 POLL],42 00 61 00 73 00 69 00,,"B.a.s.i."
2,FS,156,0:07.123.490,533.416 us,,,14,00,      [35 IN-NAK],,,""
2,FS,157,0:07.124.032,2.083 us,3 B,,14,00,      IN packet,69 0E E0,,"i.."
2,FS,158,0:07.124.035,7.416 us,11 B,,14,00,      DATA1 packet,4B 42 00 61 00 73 00 69 00 06 B8,,"KB.a.s.i..."
2,FS,159,0:07.124.044,750 ns,1 B,,14,00,      ACK packet,D2,,"."
1,FS,160,0:07.124.049,557.500 us,8 B,,14,00,   IN txn   [37 POLL],63 00 20 00 55 00 41 00,,"c. .U.A."
2,FS,161,0:07.124.049,536.416 us,,,14,00,      [37 IN-NAK],,,""
2,FS,162,0:07.124.594,2.083 us,3 B,,14,00,      IN packet,69 0E E0,,"i.."
2,FS,163,0:07.124.597,7.500 us,11 B,,14,00,      DATA0 packet,C3 63 00 20 00 55 00 41 00 DF 35,,".c. .U.A..5"
2,FS,164,0:07.124.606,750 ns,1 B,,14,00,      ACK packet,D2,,"."
1,FS,165,0:07.124.611,280.833 us,4 B,,14,00,   IN txn   [15 POLL],52 00 54 00,,"R.T."
2,FS,166,0:07.124.611,262.333 us,,,14,00,      [15 IN-NAK],,,""
2,FS,167,0:07.124.882,2.083 us,3 B,,14,00,      IN packet,69 0E E0,,"i.."
2,FS,168,0:07.124.885,4.750 us,7 B,,14,00,      DATA1 packet,4B 52 00 54 00 D1 A3,,"KR.T..."
2,FS,169,0:07.124.891,750 ns,1 B,,14,00,      ACK packet,D2,,"."
1,FS,170,0:07.124.902,7.000 us,0 B,,14,00,   OUT txn,,,""
2,FS,171,0:07.124.902,2.083 us,3 B,,14,00,      OUT packet,E1 0E E0,,"..."
2,FS,172,0:07.124.905,2.083 us,3 B,,14,00,      DATA1 packet,4B 00 00,,"K.."
2,FS,173,0:07.124.908,750 ns,1 B,,14,00,      ACK packet,D2,,"."
0,FS,174,0:07.125.827,104.018.000 ms,,,,,[105 SOF],,[Frames: 1124 - 1228] ,""
0,FS,175,0:07.229.415,462.000 us,18 B,,14,00,Get Device Descriptor,12 01 00 02 00 00 00 08 03 04 15 60 00 10 01 02 03 01,Index=0 Length=18,"...........`......"
1,FS,176,0:07.229.415,12.333 us,8 B,,14,00,   SETUP txn,80 06 00 01 00 00 12 00,,"........"
2,FS,177,0:07.229.415,2.083 us,3 B,,14,00,      SETUP packet,2D 0E E0,,"-.."
2,FS,178,0:07.229.418,7.416 us,11 B,,14,00,      DATA0 packet,C3 80 06 00 01 00 00 12 00 E0 F4,,"..........."
2,FS,179,0:07.229.426,750 ns,1 B,,14,00,      ACK packet,D2,,"."
1,FS,180,0:07.229.436,85.416 us,8 B,,14,00,   IN txn   [4 POLL],12 01 00 02 00 00 00 08,,"........"
2,FS,181,0:07.229.436,64.333 us,,,14,00,      [4 IN-NAK],,,""
2,FS,182,0:07.229.509,2.083 us,3 B,,14,00,      IN packet,69 0E E0,,"i.."
2,FS,183,0:07.229.512,7.416 us,11 B,,14,00,      DATA1 packet,4B 12 01 00 02 00 00 00 08 57 E7,,"K........W."
2,FS,184,0:07.229.521,750 ns,1 B,,14,00,      ACK packet,D2,,"."
1,FS,185,0:07.229.526,233.500 us,8 B,,14,00,   IN txn   [14 POLL],03 04 15 60 00 10 01 02,,"...`...."
2,FS,186,0:07.229.526,183.666 us,,,14,00,      [14 IN-NAK],,,""
2,FS,187,0:07.229.747,2.083 us,3 B,,14,00,      IN packet,69 0E E0,,"i.."
2,FS,188,0:07.229.750,7.500 us,11 B,,14,00,      DATA0 packet,C3 03 04 15 60 00 10 01 02 B9 78,,"....`.....x"
2,FS,189,0:07.229.759,750 ns,1 B,,14,00,      ACK packet,D2,,"."
1,FS,190,0:07.229.764,97.666 us,2 B,,14,00,   IN txn   [1 POLL],03 01,,".."
2,FS,191,0:07.229.764,4.083 us,,,14,00,      [1 IN-NAK],,,""
2,FS,192,0:07.229.853,2.083 us,3 B,,14,00,      IN packet,69 0E E0,,"i.."
2,FS,193,0:07.229.856,3.583 us,5 B,,14,00,      DATA1 packet,4B 03 01 3F 7F,,"K..?."
2,FS,194,0:07.229.861,750 ns,1 B,,14,00,      ACK packet,D2,,"."
1,FS,195,0:07.229.870,7.083 us,0 B,,14,00,   OUT txn,,,""
2,FS,196,0:07.229.870,2.083 us,3 B,,14,00,      OUT packet,E1 0E E0,,"..."
2,FS,197,0:07.229.873,2.083 us,3 B,,14,00,      DATA1 packet,4B 00 00,,"K.."
2,FS,198,0:07.229.876,750 ns,1 B,,14,00,      ACK packet,D2,,"."
0,FS,199,0:07.230.844,2.083 us,,,,,[1 SOF],,[Frame: 1229] ,""
0,FS,200,0:07.230.731,303.416 us,32 B,,14,00,Get Configuration Descriptor,09 02 20 00 01 01 00 80 2D 09 04 00 00 02 FF FF FF 02 07 05 81 02 40 00 00 07 05 02 02 40 00 00,Index=0 Length=521,".. .....-.............@......@.."
1,FS,201,0:07.230.731,12.333 us,8 B,,14,00,   SETUP txn,80 06 00 02 00 00 09 02,,"........"
2,FS,202,0:07.230.731,2.083 us,3 B,,14,00,      SETUP packet,2D 0E E0,,"-.."
2,FS,203,0:07.230.734,7.416 us,11 B,,14,00,      DATA0 packet,C3 80 06 00 02 00 00 09 02 2F C5,,"........./."
2,FS,204,0:07.230.743,750 ns,1 B,,14,00,      ACK packet,D2,,"."
1,FS,205,0:07.230.752,145.250 us,8 B,,14,00,   IN txn   [5 POLL],09 02 20 00 01 01 00 80,,".. ....."
2,FS,206,0:07.230.752,124.250 us,,,14,00,      [5 IN-NAK],,,""
2,FS,207,0:07.230.885,2.083 us,3 B,,14,00,      IN packet,69 0E E0,,"i.."
