# Total Phase Data Center(tm) v8.10
# (c) 2005-2026 Total Phase, Inc.
# www.totalphase.com
#
# Wed Apr 01 10:35:44 2026
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data,Summary,ASCII
2,FS,58,0:09.419.704,2.183 us,3 B,,07,00,      OUT packet,E1 07 68,,"..h"
2,FS,59,0:09.419.707,2.083 us,3 B,,07,00,      DATA1 packet,4B 00 00,,"K.."
2,FS,60,0:09.419.710,750 ns,1 B,,07,00,      ACK packet,D2,,"."
0,FS,61,0:09.420.701,83.013.083 ms,,,,,[84 SOF],,[Frames: 836 - 919] ,""
0,FS,62,0:09.500.714,3.007.750 ms,5 B,,07,00,Get BOS Descriptor,05 0F 16 00 02,Index=0 Length=5,"....."
1,FS,63,0:09.500.714,12.583 us,8 B,,07,00,   SETUP txn,80 06 00 0F 00 00 05 00,,"........"
2,FS,64,0:09.500.714,2.083 us,3 B,,07,00,      SETUP packet,2D 07 68,,"-.h"
2,FS,65,0:09.500.717,7.416 us,11 B,,07,00,      DATA0 packet,C3 80 06 00 0F 00 00 05 00 86 C5,,"..........."
2,FS,66,0:09.500.726,750 ns,1 B,,07,00,      ACK packet,D2,,"."
1,FS,67,0:09.501.715,10.916 us,5 B,,07,00,   IN txn,05 0F 16 00 02,,"....."
2,FS,68,0:09.501.715,2.083 us,3 B,,07,00,      IN packet,69 07 68,,"i.h"
2,FS,69,0:09.501.718,5.416 us,8 B,,07,00,      DATA1 packet,4B 05 0F 16 00 02 74 EE,,"K.....t."
2,FS,70,0:09.501.725,750 ns,1 B,,07,00,      ACK packet,D2,,"."
1,FS,71,0:09.502.715,1.007.500 ms,0 B,,07,00,   OUT txn   [1 POLL],,,""
2,FS,72,0:09.502.715,7.333 us,,,07,00,      [1 OUT-DATA-NAK],,,""
3,FS,73,0:09.502.715,7.333 us,0 B,,07,00,         OUT-DATA-NAK,,,""
4,FS,74,0:09.502.715,2.183 us,3 B,,07,00,            OUT packet,E1 07 68,,"..h"
4,FS,75,0:09.502.718,2.083 us,3 B,,07,00,            DATA1 packet,4B 00 00,,"K.."
4,FS,76,0:09.502.721,750 ns,1 B,,07,00,            NAK packet,5A,,"Z"
2,FS,77,0:09.503.715,2.183 us,3 B,,07,00,      OUT packet,E1 07 68,,"..h"
2,FS,78,0:09.503.718,2.083 us,3 B,,07,00,      DATA1 packet,4B 00 00,,"K.."
2,FS,79,0:09.503.721,750 ns,1 B,,07,00,      ACK packet,D2,,"."
0,FS,80,0:09.504.712,79.012.583 ms,,,,,[80 SOF],,[Frames: 920 - 999] ,""
0,FS,81,0:09.580.725,3.007.750 ms,22 B,,07,00,Get BOS Descriptor,05 0F 16 00 02 07 10 02 02 00 00 00 0A 10 03 00 0F 00 01 01 F4 01,Index=0 Length=22,"......................"
1,FS,82,0:09.580.725,12.666 us,8 B,,07,00,   SETUP txn,80 06 00 0F 00 00 16 00,,"........"
2,FS,83,0:09.580.725,2.083 us,3 B,,07,00,      SETUP packet,2D 07 68,,"-.h"
2,FS,84,0:09.580.728,7.416 us,11 B,,07,00,      DATA0 packet,C3 80 06 00 0F 00 00 16 00 8B F5,,"..........."
2,FS,85,0:09.580.737,750 ns,1 B,,07,00,      ACK packet,D2,,"."
1,FS,86,0:09.581.725,22.250 us,22 B,,07,00,   IN txn,05 0F 16 00 02 07 10 02 02 00 00 00 0A 10 03 00 0F 00 01 01 F4 01,,"......................"
2,FS,87,0:09.581.725,2.083 us,3 B,,07,00,      IN packet,69 07 68,,"i.h"
2,FS,88,0:09.581.729,16.750 us,25 B,,07,00,      DATA1 packet,4B 05 0F 16 00 02 07 10 02 02 00 00 00 0A 10 03 00 0F 00 01 01 F4 01 61 71,,"K......................aq"
2,FS,89,0:09.581.747,750 ns,1 B,,07,00,      ACK packet,D2,,"."
1,FS,90,0:09.582.725,1.007.416 ms,0 B,,07,00,   OUT txn   [1 POLL],,,""
2,FS,91,0:09.582.725,7.250 us,,,07,00,      [1 OUT-DATA-NAK],,,""
3,FS,92,0:09.582.725,7.250 us,0 B,,07,00,         OUT-DATA-NAK,,,""
4,FS,93,0:09.582.725,2.183 us,3 B,,07,00,            OUT packet,E1 07 68,,"..h"
4,FS,94,0:09.582.728,2.083 us,3 B,,07,00,            DATA1 packet,4B 00 00,,"K.."
4,FS,95,0:09.582.732,750 ns,1 B,,07,00,            NAK packet,5A,,"Z"
2,FS,96,0:09.583.725,2.183 us,3 B,,07,00,      OUT packet,E1 07 68,,"..h"
2,FS,97,0:09.583.729,2.083 us,3 B,,07,00,      DATA1 packet,4B 00 00,,"K.."
2,FS,98,0:09.583.732,750 ns,1 B,,07,00,      ACK packet,D2,,"."
0,FS,99,0:09.584.722,19.004.683 ms,,,,,[20 SOF],,[Frames: 1000 - 1019] ,""
0,FS,100,0:09.600.728,3.007.750 ms,10 B,,07,00,Get Device Qualifier Descriptor,0A 06 10 02 00 00 00 40 01 00,Index=0 Length=10,".......@.."
1,FS,101,0:09.600.728,12.666 us,8 B,,07,00,   SETUP txn,80 06 00 06 00 00 0A 00,,"........"
2,FS,102,0:09.600.728,2.083 us,3 B,,07,00,      SETUP packet,2D 07 68,,"-.h"
2,FS,103,0:09.600.731,7.416 us,11 B,,07,00,      DATA0 packet,C3 80 06 00 06 00 00 0A 00 5F 34,,"........._4"
2,FS,104,0:09.600.740,750 ns,1 B,,07,00,      ACK packet,D2,,"."
1,FS,105,0:09.601.728,14.083 us,10 B,,07,00,   IN txn,0A 06 10 02 00 00 00 40 01 00,,".......@.."
2,FS,106,0:09.601.728,2.083 us,3 B,,07,00,      IN packet,69 07 68,,"i.h"
2,FS,107,0:09.601.731,8.750 us,13 B,,07,00,      DATA1 packet,4B 0A 06 10 02 00 00 00 40 01 00 A6 F0,,"K.......@...."
2,FS,108,0:09.601.741,750 ns,1 B,,07,00,      ACK packet,D2,,"."
1,FS,109,0:09.602.728,1.007.500 ms,0 B,,07,00,   OUT txn   [1 POLL],,,""
2,FS,110,0:09.602.728,7.333 us,,,07,00,      [1 OUT-DATA-NAK],,,""
3,FS,111,0:09.602.728,7.333 us,0 B,,07,00,         OUT-DATA-NAK,,,""
4,FS,112,0:09.602.728,2.183 us,3 B,,07,00,            OUT packet,E1 07 68,,"..h"
4,FS,113,0:09.602.731,2.083 us,3 B,,07,00,            DATA1 packet,4B 00 00,,"K.."
4,FS,114,0:09.602.735,750 ns,1 B,,07,00,            NAK packet,5A,,"Z"
2,FS,115,0:09.603.728,2.183 us,3 B,,07,00,      OUT packet,E1 07 68,,"..h"
2,FS,116,0:09.603.731,2.083 us,3 B,,07,00,      DATA1 packet,4B 00 00,,"K.."
2,FS,117,0:09.603.735,750 ns,1 B,,07,00,      ACK packet,D2,,"."
0,FS,118,0:09.604.725,99.015.266 ms,,,,,[100 SOF],,[Frames: 1020 - 1119] ,""
0,FS,119,0:09.700.741,3.007.833 ms,9 B,,07,00,Get Configuration Descriptor,09 02 27 00 01 01 00 80 FA,Index=0 Length=9,"..'......"
1,FS,120,0:09.700.741,12.583 us,8 B,,07,00,   SETUP txn,80 06 00 02 00 00 09 00,,"........"
2,FS,121,0:09.700.741,2.083 us,3 B,,07,00,      SETUP packet,2D 07 68,,"-.h"
2,FS,122,0:09.700.744,7.416 us,11 B,,07,00,      DATA0 packet,C3 80 06 00 02 00 00 09 00 AE 04,,"..........."
2,FS,123,0:09.700.753,750 ns,1 B,,07,00,      ACK packet,D2,,"."
1,FS,124,0:09.701.741,13.583 us,9 B,,07,00,   IN txn,09 02 27 00 01 01 00 80 FA,,"..'......"
2,FS,125,0:09.701.741,2.083 us,3 B,,07,00,      IN packet,69 07 68,,"i.h"
2,FS,126,0:09.701.744,8.083 us,12 B,,07,00,      DATA1 packet,4B 09 02 27 00 01 01 00 80 FA 94 3B,,"K..'.......;"
2,FS,127,0:09.701.754,750 ns,1 B,,07,00,      ACK packet,D2,,"."
1,FS,128,0:09.702.741,1.007.416 ms,0 B,,07,00,   OUT txn   [1 POLL],,,""
2,FS,129,0:09.702.741,7.250 us,,,07,00,      [1 OUT-DATA-NAK],,,""
3,FS,130,0:09.702.741,7.250 us,0 B,,07,00,         OUT-DATA-NAK,,,""
4,FS,131,0:09.702.741,2.183 us,3 B,,07,00,            OUT packet,E1 07 68,,"..h"
4,FS,132,0:09.702.744,2.083 us,3 B,,07,00,            DATA1 packet,4B 00 00,,"K.."
4,FS,133,0:09.702.748,750 ns,1 B,,07,00,            NAK packet,5A,,"Z"
2,FS,134,0:09.703.741,2.183 us,3 B,,07,00,      OUT packet,E1 07 68,,"..h"
2,FS,135,0:09.703.745,2.083 us,3 B,,07,00,      DATA1 packet,4B 00 00,,"K.."
2,FS,136,0:09.703.748,750 ns,1 B,,07,00,      ACK packet,D2,,"."
0,FS,137,0:09.704.738,99.015.166 ms,,,,,[100 SOF],,[Frames: 1120 - 1219] ,""
0,FS,138,0:09.800.754,3.007.666 ms,39 B,,07,00,Get Configuration Descriptor,09 02 27 00 01 01 00 80 FA 09 04 00 00 03 FF FF 00 04 07 05 81 02 40 00 00 07 05 01 02 40 00 00 07 05 83 03 1C 00 06,Index=0 Length=39,"..'...................@......@........."
1,FS,139,0:09.800.754,12.500 us,8 B,,07,00,   SETUP txn,80 06 00 02 00 00 27 00,,"......'."
2,FS,140,0:09.800.754,2.000 us,3 B,,07,00,      SETUP packet,2D 07 68,,"-.h"
2,FS,141,0:09.800.757,7.416 us,11 B,,07,00,      DATA0 packet,C3 80 06 00 02 00 00 27 00 B3 A4,,".......'..."
2,FS,142,0:09.800.766,750 ns,1 B,,07,00,      ACK packet,D2,,"."
1,FS,143,0:09.801.754,33.833 us,39 B,,07,00,   IN txn,09 02 27 00 01 01 00 80 FA 09 04 00 00 03 FF FF 00 04 07 05 81 02 40 00 00 07 05 01 02 40 00 00 07 05 83 03 1C 00 06,,"..'...................@......@........."
2,FS,144,0:09.801.754,2.083 us,3 B,,07,00,      IN packet,69 07 68,,"i.h"
2,FS,145,0:09.801.758,28.416 us,42 B,,07,00,      DATA1 packet,4B 09 02 27 00 01 01 00 80 FA 09 04 00 00 03 FF FF 00 04 07 05 81 02 40 00 00 07 05 01 02 40 00 00 07 05 83 03 1C 00 06 3F 95,,"K..'...................@......@.........?."
2,FS,146,0:09.801.787,750 ns,1 B,,07,00,      ACK packet,D2,,"."
1,FS,147,0:09.802.754,1.007.416 ms,0 B,,07,00,   OUT txn   [1 POLL],,,""
2,FS,148,0:09.802.754,7.250 us,,,07,00,      [1 OUT-DATA-NAK],,,""
3,FS,149,0:09.802.754,7.250 us,0 B,,07,00,         OUT-DATA-NAK,,,""
4,FS,150,0:09.802.754,2.183 us,3 B,,07,00,            OUT packet,E1 07 68,,"..h"
4,FS,151,0:09.802.758,2.083 us,3 B,,07,00,            DATA1 packet,4B 00 00,,"K.."
4,FS,152,0:09.802.761,750 ns,1 B,,07,00,            NAK packet,5A,,"Z"
2,FS,153,0:09.803.755,2.183 us,3 B,,07,00,      OUT packet,E1 07 68,,"..h"
2,FS,154,0:09.803.758,2.083 us,3 B,,07,00,      DATA1 packet,4B 00 00,,"K.."
2,FS,155,0:09.803.761,750 ns,1 B,,07,00,      ACK packet,D2,,"."
0,FS,156,0:09.804.751,96.014.833 ms,,,,,[97 SOF],,[Frames: 1220 - 1316] ,""
0,FS,157,0:09.828.758,72.016.916 ms,4 B,,07,00,Get String Descriptor,04 03 09 04,Index=0 Length=255,"...."
1,FS,158,0:09.828.758,12.583 us,8 B,,07,00,   SETUP txn,80 06 00 03 00 00 FF 00,,"........"
2,FS,159,0:09.828.758,2.083 us,3 B,,07,00,      SETUP packet,2D 07 68,,"-.h"
2,FS,160,0:09.828.761,7.516 us,11 B,,07,00,      DATA0 packet,C3 80 06 00 03 00 00 FF 00 D4 64,,"..........d"
2,FS,161,0:09.828.770,750 ns,1 B,,07,00,      ACK packet,D2,,"."
1,FS,162,0:09.829.758,10.166 us,4 B,,07,00,   IN txn,04 03 09 04,,"...."
2,FS,163,0:09.829.758,2.083 us,3 B,,07,00,      IN packet,69 07 68,,"i.h"
2,FS,164,0:09.829.761,4.750 us,7 B,,07,00,      DATA1 packet,4B 04 03 09 04 09 78,,"K.....x"
2,FS,165,0:09.829.767,750 ns,1 B,,07,00,      ACK packet,D2,,"."
1,FS,166,0:09.899.767,1.007.500 ms,0 B,,07,00,   OUT txn   [1 POLL],,,""
2,FS,167,0:09.899.767,7.333 us,,,07,00,      [1 OUT-DATA-NAK],,,""
3,FS,168,0:09.899.767,7.333 us,0 B,,07,00,         OUT-DATA-NAK,,,""
4,FS,169,0:09.899.767,2.183 us,3 B,,07,00,            OUT packet,E1 07 68,,"..h"
4,FS,170,0:09.899.770,2.083 us,3 B,,07,00,            DATA1 packet,4B 00 00,,"K.."
4,FS,171,0:09.899.774,750 ns,1 B,,07,00,            NAK packet,5A,,"Z"
2,FS,172,0:09.900.767,2.183 us,3 B,,07,00,      OUT packet,E1 07 68,,"..h"
2,FS,173,0:09.900.771,2.083 us,3 B,,07,00,      DATA1 packet,4B 00 00,,"K.."
2,FS,174,0:09.900.774,750 ns,1 B,,07,00,      ACK packet,D2,,"."
0,FS,175,0:09.901.764,175.025.333 ms,,,,,[176 SOF],,[Frames: 1317 - 1492] ,""
0,FS,176,0:10.000.781,76.017.416 ms,16 B,,07,00,Get String Descriptor,10 03 4E 00 65 00 78 00 75 00 73 00 20 00 35 00,Index=2 Length=255,"..N.e.x.u.s. .5."
1,FS,177,0:10.000.781,12.666 us,8 B,,07,00,   SETUP txn,80 06 02 03 09 04 FF 00,,"........"
2,FS,178,0:10.000.781,2.083 us,3 B,,07,00,      SETUP packet,2D 07 68,,"-.h"
2,FS,179,0:10.000.784,7.516 us,11 B,,07,00,      DATA0 packet,C3 80 06 02 03 09 04 FF 00 97 DB,,"..........."
2,FS,180,0:10.000.793,750 ns,1 B,,07,00,      ACK packet,D2,,"."
1,FS,181,0:10.001.781,18.166 us,16 B,,07,00,   IN txn,10 03 4E 00 65 00 78 00 75 00 73 00 20 00 35 00,,"..N.e.x.u.s. .5."
2,FS,182,0:10.001.781,2.083 us,3 B,,07,00,      IN packet,69 07 68,,"i.h"
2,FS,183,0:10.001.784,12.750 us,19 B,,07,00,      DATA1 packet,4B 10 03 4E 00 65 00 78 00 75 00 73 00 20 00 35 00 9E 49,,"K..N.e.x.u.s. .5..I"
2,FS,184,0:10.001.798,750 ns,1 B,,07,00,      ACK packet,D2,,"."
1,FS,185,0:10.075.791,1.007.500 ms,0 B,,07,00,   OUT txn   [1 POLL],,,""
2,FS,186,0:10.075.791,7.333 us,,,07,00,      [1 OUT-DATA-NAK],,,""
3,FS,187,0:10.075.791,7.333 us,0 B,,07,00,         OUT-DATA-NAK,,,""
4,FS,188,0:10.075.791,2.183 us,3 B,,07,00,            OUT packet,E1 07 68,,"..h"
4,FS,189,0:10.075.794,2.083 us,3 B,,07,00,            DATA1 packet,4B 00 00,,"K.."
4,FS,190,0:10.075.797,750 ns,1 B,,07,00,            NAK packet,5A,,"Z"
2,FS,191,0:10.076.791,2.183 us,3 B,,07,00,      OUT packet,E1 07 68,,"..h"
2,FS,192,0:10.076.794,2.083 us,3 B,,07,00,      DATA1 packet,4B 00 00,,"K.."
2,FS,193,0:10.076.797,750 ns,1 B,,07,00,      ACK packet,D2,,"."
0,FS,194,0:10.077.788,123.018.416 ms,,,,,[124 SOF],,[Frames: 1493 - 1616] ,""
0,FS,195,0:10.100.794,100.020.583 ms,8 B,,07,00,Get String Descriptor,08 03 4C 00 47 00 45 00,Index=1 Length=255,"..L.G.E."
1,FS,196,0:10.100.794,12.666 us,8 B,,07,00,   SETUP txn,80 06 01 03 09 04 FF 00,,"........"
2,FS,197,0:10.100.794,2.083 us,3 B,,07,00,      SETUP packet,2D 07 68,,"-.h"
2,FS,198,0:10.100.797,7.516 us,11 B,,07,00,      DATA0 packet,C3 80 06 01 03 09 04 FF 00 97 E8,,"..........."
2,FS,199,0:10.100.806,750 ns,1 B,,07,00,      ACK packet,D2,,"."
1,FS,200,0:10.101.794,12.916 us,8 B,,07,00,   IN txn,08 03 4C 00 47 00 45 00,,"..L.G.E."
2,FS,201,0:10.101.794,2.083 us,3 B,,07,00,      IN packet,69 07 68,,"i.h"
2,FS,202,0:10.101.797,7.416 us,11 B,,07,00,      DATA1 packet,4B 08 03 4C 00 47 00 45 00 A5 7A,,"K..L.G.E..z"
2,FS,203,0:10.101.806,750 ns,1 B,,07,00,      ACK packet,D2,,"."
1,FS,204,0:10.199.807,1.007.500 ms,0 B,,07,00,   OUT txn   [1 POLL],,,""
2,FS,205,0:10.199.807,7.333 us,,,07,00,      [1 OUT-DATA-NAK],,,""
3,FS,206,0:10.199.807,7.333 us,0 B,,07,00,         OUT-DATA-NAK,,,""
4,FS,207,0:10.199.807,2.183 us,3 B,,07,00,            OUT packet,E1 07 68,,"..h"
4,FS,208,0:10.199.810,2.083 us,3 B,,07,00,            DATA1 packet,4B 00 00,,"K.."
4,FS,209,0:10.199.814,750 ns,1 B,,07,00,            NAK packet,5A,,"Z"
2,FS,210,0:10.200.807,2.183 us,3 B,,07,00,      OUT packet,E1 07 68,,"..h"
2,FS,211,0:10.200.810,2.083 us,3 B,,07,00,      DATA1 packet,4B 00 00,,"K.."
2,FS,212,0:10.200.814,750 ns,1 B,,07,00,      ACK packet,D2,,"."
0,FS,213,0:10.201.804,123.018.333 ms,,,,,[124 SOF],,[Frames: 1617 - 1740] ,""
